source,target,weight
118,268,0.0824322286188697
118,240,0.07890439494020124
118,346,0.07786958931391195
119,81,0.2394733075996471
119,429,0.23580221250163963
119,467,0.23179697377506958
119,183,0.2281705945171985
119,331,0.22474945220111822
120,1,0.22935484303464
120,111,0.21555775849880437
120,3,0.21493790678857835
120,371,0.2135205400701623
120,242,0.20848922331566172
121,1,0.5972064793132716
121,111,0.5735237128440995
121,97,0.5169045595826788
121,78,0.4948944212676138
121,47,0.490899580094382
122,88,0.3138090442105119
122,100,0.21777142582637674
122,44,0.1825776900426
122,70,0.16868393362800527
122,445,0.14142927743617753
123,1,0.2625387981643103
123,186,0.26130970397570935
123,399,0.25012592367270997
123,374,0.24577438381368008
123,384,0.24369888995449449
124,107,0.30402556157819316
124,109,0.30027597444562426
124,104,0.2752248658258534
124,279,0.2666298945069775
124,356,0.26585999986332937
125,111,0.14472003581435428
125,1,0.13238123253652065
125,14,0.13123042654781614
125,293,0.1274162658027343
125,374,0.12470331952444001
126,128,0.3494395220450869
126,107,0.3340279697270402
126,109,0.3246340573669954
126,279,0.313231393183604
126,104,0.30975220729504677
127,332,0.14437352357080946
127,202,0.13924283154111838
127,78,0.13620961726728376
127,206,0.1323515127036078
127,121,0.13045612742505922
128,379,0.5282940587413288
128,304,0.42788729850757107
128,109,0.425876177811907
128,107,0.41690356605924644
128,279,0.4079260815278024
129,419,0.39185928880711596
129,233,0.3881931165944054
129,146,0.2617460396993509
129,451,0.24362854289556662
129,171,0.2410808977210757
130,451,0.4470016827086192
130,161,0.33257479697574716
130,128,0.32200889567633956
130,304,0.301210042754874
130,279,0.29592512946784416
131,1,0.40175942073172227
131,111,0.36872978662239037
131,374,0.35772701974872795
131,14,0.3512485497984661
131,134,0.35066011171381356
132,1,0.42072239720905896
132,441,0.3974574631346653
132,52,0.39087308983801267
132,374,0.3849598385689331
132,371,0.38361233778806914
133,1,0.5371467852054421
133,14,0.5127202413126467
133,3,0.5024321835670319
133,16,0.49234628041582
133,371,0.49178847835938694
134,1,0.6940977404766819
134,374,0.6621891401903603
134,111,0.6242488214501443
134,52,0.6241803179416684
134,54,0.6094042583088118
135,129,0.1535849944066913
135,152,0.14251646308364163
135,146,0.12936516458215877
135,271,0.0902452485544043
135,11,0.08887073104775407
136,446,0.6229680389481069
136,1,0.5783729320078684
136,242,0.5605557103322549
136,111,0.5502658268277139
136,97,0.543857988866441
137,1,0.49794353951245246
137,242,0.48182249909864344
137,371,0.47568219481712515
137,52,0.47208516357332947
137,111,0.4669019942226829
138,97,0.3671586608502266
138,1,0.323485709046689
138,3,0.32267060519593016
138,111,0.3111122287591982
138,227,0.30904539608269405
139,355,0.2113439623970673
139,387,0.19712933862243917
139,52,0.18894834004859873
139,371,0.1884027910540726
139,374,0.18804083254807147
140,369,0.3466209778667498
140,188,0.17714676398864132
140,328,0.17398820481676489
140,176,0.14579820690950265
140,221,0.13346132788162587
141,304,0.32349195343993975
141,128,0.23414075309436433
141,130,0.20510022208458872
141,451,0.1976458008101755
141,328,0.1952912725712413
142,1,0.20827865063847845
142,4,0.19744612250996554
142,3,0.19619733035641432
142,227,0.1938986475675497
142,97,0.18531608650109396
143,169,0.2167182526421346
143,286,0.18956456590947698
143,160,0.16360035982396295
143,444,0.1596212356429985
143,273,0.15509549704820133
144,317,0.5445730104871216
144,429,0.5150292200983962
144,450,0.4788004698524263
144,351,0.42685276714710796
144,318,0.4187190517777081
145,121,0.3480148720652694
145,97,0.3376950465094248
145,1,0.33194942420002393
145,111,0.3232074522827194
145,429,0.31236699445575156
146,419,0.5756144027006959
146,233,0.5636238469855481
146,171,0.5545833033894395
146,191,0.4177745026083806
146,152,0.3977077602894949
147,1,0.6289069365013006
147,14,0.6020337199016731
147,374,0.6019226553124671
147,242,0.5868019203716461
147,3,0.5766476828443933
148,451,0.1679109249921645
148,304,0.14124884239593166
148,130,0.13929626603949338
148,91,0.12979332035889338
148,161,0.12912363644462435
149,1,0.49453200448479434
149,111,0.4296062903653648
149,52,0.42177906358563877
149,41,0.4165361539197905
149,134,0.4126296400569806
150,429,0.5240086128430566
